virus_id,family
103,1814
480,1882
481,1882
483,1882
502,1884
503,1884
505,1884
509,1885
514,1886
518,1888
519,1888
521,1889
527,1890
548,1893
579,1905
581,1905
582,1906
596,1910
599,1912
600,1913
602,1913
607,1914
608,1914
609,1914
611,1915
614,1915
615,1915
619,1916
621,1917
622,1917
692,1929
696,1930
698,1931
699,1931
700,1931
706,1932
707,1932
708,1932
711,1932
716,1934
723,1937
757,1947
762,1950
763,1950
764,1950
765,1950
766,1950
771,1950
772,1950
773,1950
776,1953
919,1987
936,1991
1075,2006
1076,2006
1077,2006
1078,2006
1079,2006
1080,2006
1082,2006
1185,2024
1187,2024
1188,2024
1193,2024
1194,2024
1200,2024
1202,2024
1203,2024
1213,2027
1335,2051
1341,2051
1347,2051
1354,2051
1359,2052
1380,2053
1418,2054
1419,2054
1421,2054
1438,2058
1475,2063
1577,2082
1583,2082
1594,2082
1596,2082
1598,2082
1600,2082
1610,2082
1615,2082
1617,2082
1620,2083
1624,2085
1943,2092
1965,2098
1969,2099
1970,2099
2041,2114
2128,2127
2168,2141
2169,2142
2170,2143
2176,2147
2177,2147
2187,2147
2189,2147
2245,2170
2251,2172
2352,2199
2387,2206
2476,2216
2481,2216
2483,2216
2486,2216
2562,2227
2715,2232
2721,2235
2724,2236
2725,2237
2726,2237
2727,2237
2728,2237
2732,2237
2733,2237
2736,2238
2836,2255
2838,2255
2842,2255
2891,2264
2898,2266
2901,2266
2902,2266
2908,2267
2910,2268
2911,2268
2912,2268
2918,2270
2926,2270
2927,2270
2928,2270
2933,2270
2936,2271
2937,2271
2938,2271
2939,2271
2941,2271
2942,2271
2965,2279
2966,2279
2970,2279
2973,2279
2983,2279
2984,2279
2989,2279
2990,2279
2992,2280
3009,2285
3023,2286
3033,2291
3174,2319
